"","V1","Stolen From","Type","ZIP","Offense","Make","Caliber","Address","Date","Status"
"3705","8","APARTMENT","PISTOL, SEMIAUTOMATIC","77042","BURGLARY HABITATION","GLOCK","40 CAL","10440 DEERWOOD  RD,houston ,Texas ,77042","4/9/2008","S"
"3706","9","RESIDENCE/HOUSE","PISTOL, BOLT ACTION (TUR","77006","BURGLARY HABITATION","BROWNING ARMS CO","380","1224 BARKDULL  ST,houston ,Texas ,77006","5/26/2012","S"
"3707","10","RESIDENCE/HOUSE","PISTOL, REVOLVER","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","COLT","38 CAL","701 BERING  DR,houston ,Texas ,77057","9/7/2010","S"
"3708","1","APARTMENT PARKING LOT","PISTOL, REVOLVER","77057","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","SMITH & WESSON","357 CAL","6102 WINSOME  LN,houston ,Texas ,77057","10/23/2011","S"
"3709","2","APARTMENT","PISTOL, SEMIAUTOMATIC","77043","BURGLARY HABITATION","GLOCK","40 CAL","1701 UPLAND  ,houston ,Texas ,77043","8/23/2010","S"
"3710","3","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77082","BURGLARY HABITATION","BERETTA","12 GAUGE","3034 MISTY PARK  ,houston ,Texas ,77082","2/19/2010","S"
"3711","4","RENTAL STORAGE FACILITY","SHOTGUN, PUMP ACTION","77092","BURGLARY BUILDING","REMINGTON ARMS CO INC","UNKNOWN","5323 MILWEE  ST,houston ,Texas ,77092","1/19/2009","S"
"3712","5","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77053","BURGLARY HABITATION","SMITH & WESSON","9 MILL","4943 BRYANT RIDGE  RD,houston ,Texas ,77053","5/8/2012","S"
"3713","6","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77056","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","40 CAL","1605 POST OAK  BLVD,houston ,Texas ,77056","4/5/2012","S"
"3714","7","APARTMENT","HAND GUN","77096","BURGLARY HABITATION","S&W","38","4620 BRAESWOOD S BLVD,houston ,Texas ,77096","10/26/2008","S"
"3715","8","AMCO PARKING LOT","SHOTGUN, DOUBLE BARREL","77061","THEFT (AUTO CAR NOT TRUCK)/LOSS $200.00 OR MORE - F","REMINGTON ARMS CO INC","12 GAUGE","7625 MONROE  RD,houston ,Texas ,77061","11/21/2008","S"
"3716","9","APARTMENT","","77096","BURGLARY HABITATION","HI-POINT","","10555 FONDREN  RD,houston ,Texas ,77096","3/28/2008","S"
"3717","10","RESIDENCE/HOUSE","MAGAZINES","77009","BURGLARY HABITATION","SPRINGFIELD ARM","","315 CORONADO  ST,houston ,Texas ,77009","5/15/2012","S"
"3718","1","APARTMENT","AMMUNITION","77385","BURGLARY HABITATION","UNKNOWN","12 GAUGE","2101 HAYES  RD,houston ,Texas ,77385","1/31/2011","S"
"3719","2","STRIP BUSINESS CENTER PAR","PISTOL, SEMIAUTOMATIC","77074","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","KEL-TEC","380 CAL","7071 SOUTHWEST  FWY,houston ,Texas ,77074","3/9/2012","S"
"3720","3","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77009","BURGLARY HABITATION","RUGER","9 MILL","811 ENID  ST,houston ,Texas ,77009","4/24/2009","S"
"3721","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77081","BURGLARY HABITATION","STOEGER KOGER","UNKNOWN","5454 NEWCASTLE  ,houston ,Texas ,77081","9/2/2010","S"
"3722","5","RESIDENCE/HOUSE","F","77074","BURGLARY HABITATION","TASER CARTRIDGE","9999","9315 MCAVOY  DR,houston ,Texas ,77074","10/31/2011","S"
"3723","6","COMMERCIAL PARKING LOT/GA","PISTOL, REVOLVER","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","TAURUS","UNKNOWN","10800 WESTHEIMER  RD,houston ,Texas ,77042","5/27/2009","S"
"3724","7","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77077","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","COLT","380 CAL","11685 WESTHEIMER  RD,houston ,Texas ,77077","7/16/2011","S"
"3725","8","ROAD/STREET/SIDEWALK","PISTOL, REVOLVER","77006","THEFT (TRUCK)","SMITH & WESSON","32","3710 MANDELL  ,houston ,Texas ,77006","6/18/2012","S"
"3726","9","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77036","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","40 CAL","6500 HARWIN  DR,houston ,Texas ,77036","6/4/2009","S"
"3727","10","OFFICE BUILDING","STUN GUN","77060","BURGLARY BUILDING","STUN MASTER","","12961 NORTH  FWY,houston ,Texas ,77060","6/26/2010","S"
"3728","1","RESTAURANT/CAFETERIA PARK","AMMUNITION","77040","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","","10","12950 NORTHWEST  FWY,houston ,Texas ,77040","7/2/2008","S"
"3729","2","BARBER AND BEAUTY SHOPS","PISTOL, SEMIAUTOMATIC","77021","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","GLOCK","22","4300 GRIGGS  ,houston ,Texas ,77021","8/24/2012","S"
"3730","3","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77099","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","10711 LEAWOOD  BLVD,houston ,Texas ,77099","8/3/2010","S"
"3731","4","RESTAURANT/CAFETERIA PARK","MAGAZINE CLIP","77008","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL 3RD DEG)","","","2615 ELLA  BLVD,houston ,Texas ,77008","8/27/2009","S"
"3732","5","APARTMENT","","77096","BURGLARY HABITATION","AR 15 SPG GIARDAOM","308","9700 GLENFIELD  CT,houston ,Texas ,77096","10/7/2011","S"
"3733","6","RESIDENCE/HOUSE","PISTOL, REVOLVER","77013","BURGLARY HABITATION","REMINGTON ARMS CO INC","357 CAL","12410 EASTBROOK  ,houston ,Texas ,77013","10/6/2010","S"
"3734","7","GROCERY/SUPERMARKET","PISTOL, REVOLVER","77026","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","ROSSI,AMADEO, & CO","38 CAL","5000 LOCKWOOD  DR,houston ,Texas ,77026","12/31/2008","S"
"3735","8","RESIDENCE/HOUSE","PISTOL","77085","BURGLARY HABITATION","FIREARMS","22","12705 ARP  ST,houston ,Texas ,77085","1/7/2009","S"
"3736","9","RESIDENCE/HOUSE","PISTOL, REVOLVER","77028","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","UNKNOWN","38 CAL","6914 SANDRA  ,houston ,Texas ,77028","1/28/2010","S"
"3737","10","VACANT SINGLE OCCUPANCY R","PISTOL, SEMIAUTOMATIC","77018","BURGLARY HABITATION","GLOCK      (D1777)","9 MILL","403 33RD W ST,houston ,Texas ,77018","2/9/2012","S"
"3738","1","APARTMENT","SHOTGUN, PUMP ACTION","77063","INVESTIGATION (HOMICIDE) (FV)","MOSSBERG O F, & SONS","12 GAUGE","8165 RICHMOND  AVE,houston ,Texas ,77063","3/1/2008","S"
"3739","2","RESTAURANT/CAFETERIA","PISTOL, REVOLVER","77027","THEFT (AUTO)/(FEL 3RD DEG)","COLT","357 CAL","4302 RICHMOND  AVE,houston ,Texas ,77027","3/7/2008","S"
"3740","3","RESIDENCE/HOUSE","","77338","BURGLARY HABITATION","MAG","","20919 BIRNAM WOOD  BLVD,houston ,Texas ,77338","4/14/2011","S"
"3741","4","RESIDENCE/HOUSE","RIFLE, LEVER ACTION","77075","BURGLARY HABITATION","MARLIN FIREARMS CO","308","8101 SAYLYNN  LN,houston ,Texas ,77075","4/9/2009","S"
"3742","5","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77012","THEFT","TAURUS","380","7836 BALTIMORE  ST,houston ,Texas ,77012","2/8/2012","C"
"3743","6","APARTMENT","PISTOL, REVOLVER","77019","BURGLARY HABITATION","COLT","44","801 CLEVELAND  ST,houston ,Texas ,77019","5/24/2012","C"
"3744","7","STRIP BUSINESS CENTER PAR","","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK PISTOL MAGAZINE","9","3005 WEST LP S E SER,houston ,Texas ,77027","10/2/2008","S"
"3745","8","RESIDENCE BACKYARD SHED","PISTOL, SEMIAUTOMATIC","77004","BURGLARY BUILDING","UNKNOWN","380 CAL","3122 MCILHENNY  ST,houston ,Texas ,77004","11/15/2010","S"
"3746","9","RESIDENCE/HOUSE","AMMUNITION","77072","BURGLARY HABITATION","UNKNOWN","45 CAL","7122 DAIRY ASHFORD S ,houston ,Texas ,77072","12/23/2011","S"
"3747","10","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77098","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERSA","380 CAL","2630 RICHMOND  AVE,houston ,Texas ,77098","12/17/2009","S"
"3748","1","HOTEL/MOTEL PARKING LOT","SHOTGUN, PUMP ACTION","77027","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","MOSSBERG O F, & SONS","12 GAUGE","2525 WEST LP S  ,houston ,Texas ,77027","12/17/2008","S"
"3749","2","OFFICE BUILDING","","77092","THEFT","","","5400 MITCHELLDALE  ST,houston ,Texas ,77092","12/8/2009","S"
"3750","3","BAR/NIGHT CLUB","PISTOL, SEMIAUTOMATIC","77057","AGGRAVATED ASSAULT (OTHER PEACE OFFICER)/BY FIREARMS","GLOCK","10","6345 WINDSWEPT  LN,houston ,Texas ,77057","11/2/2008","S"
"3751","4","RESTAURANT/CAFETERIA","PISTOL, SEMIAUTOMATIC","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL 3RD DEG)","GLOCK","9 MILL","6100 WESTHEIMER  RD,houston ,Texas ,77057","10/29/2009","S"
"3752","5","APARTMENT","RIFLE, BOLT ACTION","77598","BURGLARY HABITATION","REMINGTON ARMS CO INC","7 MILL","15800 GALVESTON  RD,houston ,Texas ,77598","7/14/2009","S"
"3753","6","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77037","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","GLOCK","40 CAL","9410 NORTH  FWY,houston ,Texas ,77037","7/17/2012","S"
"3754","7","HOUSTON ZOO","PISTOL, SEMIAUTOMATIC","77030","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)(FC)","UNKNOWN","380 CAL","6100 GOLF COURSE  DR,houston ,Texas ,77030","6/27/2009","S"
"3755","8","RESTAURANT/CAFETERIA PARK","PISTOL, REVOLVER","77042","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","CHARTER ARMS CORP","38 CAL","9700 WESTHEIMER  RD,houston ,Texas ,77042","6/8/2011","S"
"3756","9","APARTMENT","PISTOL, SEMIAUTOMATIC","77058","BURGLARY HABITATION","SPRINGFIELD FIREARMS","45 CAL","300 CYBERONICS  BLVD,houston ,Texas ,77058","5/28/2010","S"
"3757","10","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77096","BURGLARY HABITATION","GLOCK","40 CAL","5415 BEECHNUT  ST,houston ,Texas ,77096","9/30/2010","S"
"3758","1","RESIDENCE/HOUSE","AMMUNITION","77079","BURGLARY HABITATION","WINCHESTER","22","13038 TRAIL HOLLOW  ,houston ,Texas ,77079","11/4/2011","S"
"3759","2","RESTAURANT/CAFETERIA PARK","RIFLE, SEMIAUTOMATIC","77074","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","H&K","308","8199 SOUTHWEST  FWY,houston ,Texas ,77074","8/31/2008","S"
"3760","3","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77076","THEFT (TRUCK)/LOSS $200.00 OR MORE - F","SMITH & WESSON","9 MILL","129 LITTLE YORK  RD,houston ,Texas ,77076","9/20/2011","S"
"3761","4","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77028","BURGLARY HABITATION","WINCHESTER","14 GUAGE","6202 SHOTWELL  ,houston ,Texas ,77028","8/16/2011","S"
"3762","5","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77098","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","RUGER","380","2600 KIRBY  DR,houston ,Texas ,77098","3/2/2012","S"
"3763","6","RESIDENCE/HOUSE","REVOLVER PISTOL","77345","BURGLARY HABITATION","","0.38","3822 APPALACHIAN  TRL,houston ,Texas ,77345","3/12/2012","S"
"3764","7","APARTMENT","PISTOL, REVOLVER","77502","BURGLARY HABITATION","SMITH & WESSON","38","2727 REVERE  ,houston ,Texas ,77502","1/26/2012","S"
"3765","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77087","THEFT/(FEL STATE JAIL)","LLAMA","380 CAL","6511 RICHWOOD  RD,houston ,Texas ,77087","10/1/2010","S"
"3766","9","RESIDENCE/HOUSE","PISTOL, REVOLVER","77396","INVESTIGATION (BURGLARY AND THEFT)","COLT","45 CAL","14906 PECANTEX  DR,houston ,Texas ,77396","9/1/2010","S"
"3767","10","STADIUM/SPRTS ARENA/RACE","PISTOL, SEMIAUTOMATIC","77054","THEFT/(MISD A)","PARA-ORDANACE","45 CAL","8400 KIRBY  DR,houston ,Texas ,77054","5/14/2011","S"
"3768","1","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77017","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY BODILY FORCE","SMITH & WESSON","40 CAL","611 GOBER  ,houston ,Texas ,77017","4/4/2010","C"
"3769","2","APARTMENT","REVOLVER","77093","INVESTIGATION (BURGLARY AND THEFT)","NORTH AMERICAN ARMS","22","2450 ALDINE WESTFIELD  RD,houston ,Texas ,77093","4/8/2012","S"
"3770","3","SHOPPING CENTER PARKING L","AMMUNITION","77079","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)(PG)","","","13300 MEMORIAL  DR,houston ,Texas ,77079","11/6/2009","S"
"3771","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77042","BURGLARY HABITATION(JUV)","H&K","40 CAL","11201 LYNBROOK  DR,houston ,Texas ,77042","12/20/2009","S"
"3772","5","BANKS","A STAINLESS, COLT MARK 4","77023","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","COLT","357","5808 GULF  FWY,houston ,Texas ,77023","11/26/2008","S"
"3773","6","DRIVEWAY","SHOTGUN, PUMP ACTION","77022","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","MAVERICK","12 GAUGE","411 WHITNEY E ,houston ,Texas ,77022","1/16/2009","C"
"3774","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77096","BURGLARY HABITATION","GLOCK","9 MILL","6022 HUMMINGBIRD  ,houston ,Texas ,77096","2/2/2011","S"
"3775","8","RESIDENCE/HOUSE","RIFLE","77057","BURGLARY HABITATION","BROWNING","10","1429 WINROCK  BLVD,houston ,Texas ,77057","1/3/2011","S"
"3776","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77055","THEFT","TAURUS","45","9814 WESTVIEW  ,houston ,Texas ,77055","8/1/2011","S"
"3777","10","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","GLOCK","9 MILL","1000 TEXAS  ST,houston ,Texas ,77002","2/16/2010","S"
"3778","1","APARTMENT","PISTOL, SEMIAUTOMATIC","77060","BURGLARY HABITATION","GLOCK","32 CAL","1100 LANGWICK  DR,houston ,Texas ,77060","4/15/2012","S"
"3779","2","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77053","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS","UNKNOWN","40 CAL","16301 CHIMNEY ROCK  RD,houston ,Texas ,77053","3/22/2009","S"
"3780","3","HOTEL/MOTEL PARKING LOT","PISTOL, SEMIAUTOMATIC","77060","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","BERETTA","9 MILL","12500 NORTH  FWY,houston ,Texas ,77060","4/17/2008","S"
"3781","4","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","PARA ORIDINANCE","45 CAL","2100 CONGRESS  ,houston ,Texas ,77002","4/20/2010","S"
"3782","5","RESIDENCE/HOUSE","PISTOL, REVOLVER","77096","BURGLARY HABITATION","SMITH & WESSON","38 CAL","9418 CLIFFWOOD  DR,houston ,Texas ,77096","7/11/2012","S"
"3783","6","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77089","BURGLARY HABITATION","REMINGTON ARMS CO INC","270 CAL","10411 KIRKDALE  DR,houston ,Texas ,77089","5/18/2009","S"
"3784","7","STRIP BUSINESS CENTER PAR","PISTOL","77057","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","H & R","0.22","6516 WESTHEIMER  RD,houston ,Texas ,77057","5/30/2009","S"
"3785","8","UNKNOWN","PISTOL, FULLY AUTOMATIC","77021","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","HI POINT","40 CAL","4500 YELLOWSTONE  BLVD,houston ,Texas ,77021","7/16/2010","S"
"3786","9","CONVENIENCE STORE","PISTOL, REVOLVER","77035","BURGLARY BUILDING","COBRA","38 CAL","12511 HILLCROFT  ,houston ,Texas ,77035","6/26/2009","S"
"3787","10","RESIDENCE/HOUSE","PISTOL, REVOLVER","77047","BURGLARY HABITATION","SMITH & WESSON","38 CAL","14203 UMBER COVE  CT,houston ,Texas ,77047","9/13/2011","S"
"3788","1","PARKS & RECREATION, ZOO,","REVOLVER","77082","THEFT/LOSS $200.00 OR MORE - F","RUGER","","16002 WESTHEIMER  PKWY,houston ,Texas ,77082","8/28/2009","S"
"3789","2","CITY PARK PARKING LOT","PISTOL, SEMIAUTOMATIC","77084","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","XDM","40 CAL","18000 SAUMS  RD,houston ,Texas ,77084","7/26/2009","S"
"3790","3","RESIDENCE/HOUSE","","77021","BURGLARY HABITATION","HANDGUN","","5051 NASSAU  RD,houston ,Texas ,77021","9/10/2010","S"
"3791","4","CONDOMINIUM","RIFLE, SEMIAUTOMATIC","77071","BURGLARY HABITATION","RUGER","22 CAL","7655 BRAESWOOD S BLVD,houston ,Texas ,77071","11/3/2011","S"
"3792","5","CONVENIENCE STORE PARKING","PISTOL, REVOLVER","77045","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS(PG)(JUV)","TAURUS","357 CAL","4430 OREM W DR,houston ,Texas ,77045","6/21/2008","E"
"3793","6","APARTMENT","PISTOL, SEMIAUTOMATIC","77082","BURGLARY HABITATION","SIG SAUER","9 MILL","12903 BRANT ROCK  DR,houston ,Texas ,77082","8/13/2011","S"
"3794","7","RESTAURANT/CAFETERIA PARK","PISTOL, SEMIAUTOMATIC","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(FEL STATE JAIL)","FNH","5.7","417 TRAVIS  ST,houston ,Texas ,77002","5/24/2010","S"
"3795","8","TOWNHOME","PISTOL, SEMIAUTOMATIC","77019","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)","TAURUS","9","802 ANDREWS  ST,houston ,Texas ,77019","10/27/2011","E"
"3796","9","ROAD/STREET/SIDEWALK","PISTOL, SEMIAUTOMATIC","77547","THEFT (TRUCK)/LOSS $200.00 OR MORE - F","GLOCK","45 CAL","700 CROWN  ST,houston ,Texas ,77547","8/27/2010","S"
"3797","10","APARTMENT","PISTOL, SEMIAUTOMATIC","77060","THEFT (FIREARM) STATE JAIL-FELONY ONLY","TAURUS","40 CAL","770 GREENS  RD,houston ,Texas ,77060","4/4/2009","S"
"3798","1","RESIDENCE/HOUSE","AMMUNITION","77055","BURGLARY HABITATION","UNKNOWN","357","7023 ALDERNEY  DR,houston ,Texas ,77055","1/27/2011","S"
"3799","2","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77028","BURGLARY HABITATION","REMINGTON ARMS CO INC","30-06 CAL","8045 CHATEAU  ST,houston ,Texas ,77028","4/26/2010","S"
"3800","3","PARKING LOT","PISTOL, REVOLVER","77022","AGGRAVATED ROBBERY (DEADLY WEAPON)/BY FIREARMS (GC)","TAURUS 357  MAGNUM","357 CAL","4712 AIRLINE  DR,houston ,Texas ,77022","3/27/2008","S"
"3801","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77056","THEFT/LOSS $200.00 OR MORE - F","HECKLER KOCH","UNKNOWN","2400 YORKTOWN  ST,houston ,Texas ,77056","12/26/2010","S"
"3802","5","APARTMENT","SHOTGUN, PUMP ACTION","77082","BURGLARY HABITATION","REMINGTON ARMS CO INC","12 GAUGE","2600 WESTHOLLOW  ,houston ,Texas ,77082","12/7/2011","S"
"3803","6","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77045","THEFT/LOSS $50.00 TO $199.99 -","HI POINT","9 MILL","14423 WHITE HEATHER  ,houston ,Texas ,77045","1/21/2009","S"
"3804","7","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77091","THEFT/(MISD B)","UNKNOWN","9 MILL","2457 DRUID  ,houston ,Texas ,77091","10/5/2010","S"
"3805","8","COMMERCIAL PARKING LOT/GA","PISTOL, SEMIAUTOMATIC","77002","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","KEL-TEC","380 CAL","1400 CAROLINE  ST,houston ,Texas ,77002","2/22/2010","S"
"3806","9","RESIDENCE/HOUSE","SHOTGUN, PUMP ACTION","77087","THEFT/(FEL STATE JAIL)","UNKNOWN","16 GAUGE","7738 DIXIE  DR,houston ,Texas ,77087","3/25/2008","C"
"3807","10","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77092","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","HI-POINT","380 CAL","4250 34TH W ST,houston ,Texas ,77092","4/18/2008","S"
"3808","1","APARTMENT","PISTOL, REVOLVER","77003","BURGLARY HABITATION","HARRINGTON & RICHARDSON","32 CAL","2120 TEXAS  ST,houston ,Texas ,77003","8/2/2010","S"
"3809","2","WAREHOUSE","PISTOL, REVOLVER","77061","BURGLARY BUILDING","SMITH & WESSON","38 CAL","6820 EASTHAVEN  BLVD,houston ,Texas ,77061","7/1/2009","S"
"3810","3","RESIDENCE/HOUSE","RIFLE, BOLT ACTION","77020","BURGLARY HABITATION","UNKNOWN","","615 HARBOR  ST,houston ,Texas ,77020","6/21/2011","S"
"3811","4","RESIDENCE/HOUSE","RIFLE","77042","BURGLARY HABITATION","TWENTY TWO WINCHESTER RI","","10 TWIN CIRCLE  DR,houston ,Texas ,77042","5/7/2009","S"
"3812","5","DRIVEWAY","PISTOL","77082","BURGLARY (MOTOR VEHICLE)","BARETTA","22","2927 MEADOWGLEN CREST  ,houston ,Texas ,77082","4/8/2009","S"
"3813","6","PAWN/RESALE SHOP/FLEA MAR","RIFLE","77055","BURGLARY BUILDING","REMINGTON","270","7640 LONG POINT  RD,houston ,Texas ,77055","3/8/2010","S"
"3814","7","RESIDENCE/HOUSE","SHOTGUN, SEMIAUTOMATIC","77007","BURGLARY HABITATION","HARRINGTON & RICHARDSON","12 GAUGE","4122 FLOYD  ST,houston ,Texas ,77007","2/7/2011","S"
"3815","8","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77022","BURGLARY HABITATION","UNKNOWN","7.62X25MM","238 DORCHESTER  ST,houston ,Texas ,77022","12/27/2011","S"
"3816","9","RESIDENCE/HOUSE","","77096","BURGLARY HABITATION","SMITH & WESSON","44","5226 LYMBAR  DR,houston ,Texas ,77096","1/4/2010","S"
"3817","10","RESIDENCE/HOUSE","Rifle, Automatic","77040","BURGLARY HABITATION","UNKNOWN","","9811 KELL  DR,houston ,Texas ,77040","11/15/2011","S"
"3818","1","RESIDENCE/HOUSE","PISTOL, REVOLVER","77009","BURGLARY HABITATION","RUGER","22 CAL","3402 ELSER  ST,houston ,Texas ,77009","5/19/2008","S"
"3819","2","RESIDENCE/HOUSE","RIFLE, SINGLE-SHOT","77033","BURGLARY HABITATION","UNKNOWN","22 CAL","5209 BURMA  ,houston ,Texas ,77033","6/18/2008","S"
"3820","3","APARTMENT PARKING LOT","PISTOL, SEMIAUTOMATIC","77098","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","MAKAROV","380 CAL","2800 KIRBY  DR,houston ,Texas ,77098","7/19/2010","S"
"3821","4","APARTMENT","PISTOL, SEMIAUTOMATIC","77042","INVESTIGATION (BURGLARY AND THEFT)","SMITH & WESSON","9 MILL","9940 RICHMOND  AVE,houston ,Texas ,77042","4/26/2008","S"
"3822","5","APARTMENT PARKING LOT","PISTOL, SINGLE-SHOT","77061","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD B)","TAURUS","9MM","8800 BROADWAY  ST,houston ,Texas ,77061","10/25/2011","U"
"3823","6","DEPARTMENT/DISCOUNT STORE","RECEIVER","77089","THEFT (FIREARM) STATE JAIL-FELONY ONLY","DPMS","*","11707 SOUTH SAM HOUSTON E PKWY,houston ,Texas ,77089","4/24/2008","S"
"3824","7","APARTMENT","PISTOL, REVOLVER","77035","BURGLARY HABITATION","UNKNOWN","38 CAL","12101 FONDREN  RD,houston ,Texas ,77035","11/5/2010","S"
"3825","8","RESIDENCE/HOUSE","SHOTGUN, SINGLE-SHOT","77043","BURGLARY HABITATION","410","16 GAUGE","1334 WEST FOREST  DR,houston ,Texas ,77043","2/7/2011","S"
"3826","9","RESIDENCE/HOUSE","PISTOL, SEMIAUTOMATIC","77007","THEFT (FIREARM) STATE JAIL-FELONY ONLY","SPRINGFIELD FIREARMS","40 CAL","6322 HASKELL  ,houston ,Texas ,77007","11/22/2010","S"
"3827","10","COMMERCIAL BUILDING","ZZZ","77061","THEFT (TRUCK)",".22 SINGLE SHOT RIFLE","22","8451 TRAVELAIR  ST,houston ,Texas ,77061","1/6/2012","S"
"3828","1","UNKNOWN","PISTOL, REVOLVER","77057","LOST OR STOLEN","SMITH & WESSON","38 CAL","1116 POTOMAC  DR,houston ,Texas ,77057","3/15/2010","S"
"3829","2","RESIDENCE/HOUSE","SHOTGUN, SINGLE-SHOT","77016","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","MOSSBERG O F, & SONS","12 GAUGE","11106 THACKERY  LN,houston ,Texas ,77016","4/4/2010","S"
"3830","3","RESIDENCE/HOUSE","PISTOL, REVOLVER","77047","BURGLARY HABITATION","UNKNOWN","22 CAL","12902 SOUTHBRIDGE  RD,houston ,Texas ,77047","7/23/2011","S"
"3831","4","CONVENIENCE STORE","PISTOL, SEMIAUTOMATIC","77017","BURGLARY MOTOR VEHICLE (NON PART/CONTENTS)/(MISD A)","SMITH & WESSON","40 CAL","6900 MONROE  RD,houston ,Texas ,77017","6/1/2008","C"
"3832","5","APARTMENT","PISTOL, SEMIAUTOMATIC","77025","BURGLARY HABITATION","GLOCK","45 CAL","7490 BROMPTON  ST,houston ,Texas ,77025","10/12/2010","S"
